brand,type,name,time,address,service,city,record_date
Carrefour,Hypermarket,青埔店,non-24h,桃園市中壢區高鐵南路2段352號2樓,nan,桃園市,2022-02-24
Carrefour,Hypermarket,南港店,non-24h,臺北市南港區南港路二段146號B1,nan,臺北市,2022-02-24
Carrefour,Hypermarket,新仁店,non-24h,臺南市仁德區大同路三段755號,nan,臺南市,2022-02-24
Carrefour,Hypermarket,新楠店,non-24h,高雄市楠梓區土庫一路 60 號,nan,高雄市,2022-02-24
Carrefour,Hypermarket,北港店,non-24h,雲林縣北港鎮華南路101號,nan,雲林縣,2022-02-24
Carrefour,Hypermarket,新屏店,non-24h,屏東縣屏東市台糖街3號,nan,屏東縣,2022-02-24
Carrefour,Hypermarket,西屯店,non-24h,臺中市西屯區台灣大道四段1086號,nan,臺中市,2022-02-24
Carrefour,Hypermarket,金門店,non-24h,金門縣金寧鄉伯玉路二段223號,nan,金門縣,2022-02-24
Carrefour,Hypermarket,八德店,non-24h,桃園市八德區介壽路一段728號B2,nan,桃園市,2022-02-24
Carrefour,Hypermarket,北大店,non-24h,新北市樹林區大雅路288號B1,nan,新北市,2022-02-24
Carrefour,Hypermarket,林口店,non-24h,新北市林口區文化二路一段 559 號 B1,nan,新北市,2022-02-24
Carrefour,Hypermarket,新店店,24h,新北市新店區中興路三段1號,nan,新北市,2022-02-24
Carrefour,Hypermarket,樹林店,non-24h,新北市樹林區大安路118號,nan,新北市,2022-02-24
Carrefour,Hypermarket,土城店,non-24h,新北市土城區青雲路152號B1,nan,新北市,2022-02-24
Carrefour,Hypermarket,中和店,non-24h,新北市中和區中山路二段295號B1,nan,新北市,2022-02-24
Carrefour,Hypermarket,板橋店,non-24h,新北市板橋區三民路二段31號B1,nan,新北市,2022-02-24
Carrefour,Hypermarket,中平店,non-24h,新北市新莊區中平路108號B1,nan,新北市,2022-02-24
Carrefour,Hypermarket,蘆洲店,24h,新北市三重區五華街282號,nan,新北市,2022-02-24
Carrefour,Hypermarket,重新店,non-24h,新北市三重區重新路五段654號,nan,新北市,2022-02-24
Carrefour,Hypermarket,汐科店,non-24h,新北市汐止區新台五路一段99號B1,nan,新北市,2022-02-24
Carrefour,Hypermarket,安平店,24h,臺南市中西區中華西路2段16號,nan,臺南市,2022-02-24
Carrefour,Hypermarket,仁德店,non-24h,臺南市仁德區中山路711號,nan,臺南市,2022-02-24
Carrefour,Hypermarket,中華店,non-24h,臺南市永康區中華二路350號B1-1-8,nan,臺南市,2022-02-24
Carrefour,Hypermarket,中正店,non-24h,臺南市永康區中正南路358號,nan,臺南市,2022-02-24
Carrefour,Hypermarket,新營店,non-24h,臺南市新營區健康路251號,nan,臺南市,2022-02-24
Carrefour,Hypermarket,斗六店,non-24h,雲林縣斗六市雲林路二段297號,nan,雲林縣,2022-02-24
Carrefour,Hypermarket,虎尾店,non-24h,雲林縣虎尾鎮立新街96號,nan,雲林縣,2022-02-24
Carrefour,Hypermarket,北門店,non-24h,嘉義市西區忠孝路346巷21號,nan,嘉義市,2022-02-24
Carrefour,Hypermarket,嘉義店,non-24h,嘉義市西區博愛路二段461號,nan,嘉義市,2022-02-24
Carrefour,Hypermarket,楠梓店,non-24h,高雄市楠梓區藍田路288號,nan,高雄市,2022-02-24
Carrefour,Hypermarket,光華店,non-24h,高雄市前鎮區光華二路157號,nan,高雄市,2022-02-24
Carrefour,Hypermarket,澄清店,non-24h,高雄市三民區澄清路635號,nan,高雄市,2022-02-24
Carrefour,Hypermarket,成功店,non-24h,高雄市前鎮區中華五路1111號,nan,高雄市,2022-02-24
Carrefour,Hypermarket,屏東店,non-24h,屏東縣屏東市仁愛路188號,nan,屏東縣,2022-02-24
Carrefour,Hypermarket,鳳山店,non-24h,高雄市鳳山區中山西路236號,nan,高雄市,2022-02-24
Carrefour,Hypermarket,五甲店,non-24h,高雄市鳳山區林森路291號,nan,高雄市,2022-02-24
Carrefour,Hypermarket,愛河店,non-24h,高雄市三民區河東路356號,nan,高雄市,2022-02-24
Carrefour,Hypermarket,鼎山店,24h,高雄市三民區大順二路849號,nan,高雄市,2022-02-24
Carrefour,Hypermarket,苗栗店,non-24h,苗栗縣苗栗市國華路599號,nan,苗栗縣,2022-02-24
Carrefour,Hypermarket,中原店,24h,桃園市中壢區中華路二段501號,nan,桃園市,2022-02-24
Carrefour,Hypermarket,經國店,24h,桃園市桃園區經國路369號,nan,桃園市,2022-02-24
Carrefour,Hypermarket,竹北店,non-24h,新竹縣竹北市光明六路89號1F,nan,新竹縣,2022-02-24
Carrefour,Hypermarket,內壢店,non-24h,桃園市中壢區中華路一段450號,nan,桃園市,2022-02-24
Carrefour,Hypermarket,中壢店,non-24h,桃園市中壢區中山東路二段510號,nan,桃園市,2022-02-24
Carrefour,Hypermarket,桃園店,non-24h,桃園市桃園區春日路1593號,nan,桃園市,2022-02-24
Carrefour,Hypermarket,台東店,non-24h,臺東縣臺東市正氣路300之1號,nan,臺東縣,2022-02-24
Carrefour,Hypermarket,宜蘭店,non-24h,宜蘭縣宜蘭市民權路二段38巷2號B2,nan,宜蘭縣,2022-02-24
Carrefour,Hypermarket,花蓮店,non-24h,花蓮縣新城鄉嘉里路15號B1,nan,花蓮縣,2022-02-24
Carrefour,Hypermarket,三民店,non-24h,臺北市松山區三民路160號,nan,臺北市,2022-02-24
